F1,Avg Train Time,Avg Test Time,CLF,Feature Finder,Convert Grey,RootSIFT,PCA First,K Clusters,PCA Ratio,TF-IDF,Incremental Threshold
0.486666666667,4.7280403614,4.09608597755,BernoulliNB,ORB,False,True,True,200.0,0.5,False,20.0
0.486666666667,5.37691597939,4.15227155685,PassiveAggressiveClassifier,ORB,False,True,True,200.0,1.0,True,25.0
0.486666666667,4.00585947037,3.81078276634,Perceptron,ORB,False,True,True,100.0,0.25,False,10.0
0.486666666667,2.38898735046,2.64951996803,Perceptron,ORB,True,False,True,25.0,0.75,False,10.0
0.485333333333,3.15797100067,2.87707023621,Perceptron,ORB,True,False,True,100.0,0.5,False,15.0
0.485333333333,4.73871974945,4.09392738342,SGDClassifier,ORB,True,True,True,200.0,0.75,True,20.0
0.485333333333,4.18613023758,3.13402042389,Perceptron,ORB,False,False,True,200.0,0.25,False,25.0
0.485333333333,3.8931333065,3.83071184158,PassiveAggressiveClassifier,ORB,True,True,True,100.0,0.75,False,20.0
0.485333333333,3.15964837074,2.90288100243,Perceptron,ORB,False,False,True,100.0,0.5,False,15.0
0.485333333333,4.83914189339,4.0021545887,PassiveAggressiveClassifier,ORB,True,True,True,200.0,0.5,False,20.0
0.485333333333,5.25121378899,4.0761988163,BernoulliNB,ORB,True,True,True,200.0,0.75,True,25.0
0.485333333333,4.71056776047,4.10940008163,PassiveAggressiveClassifier,ORB,True,True,True,200.0,1.0,False,10.0
0.484,3.44386358261,3.7035015583,SGDClassifier,ORB,True,True,True,50.0,1.0,False,20.0
0.484,2.31741580963,2.65201320648,BernoulliNB,ORB,True,False,True,25.0,0.5,False,20.0
0.484,3.06828403473,2.85808854103,BernoulliNB,ORB,True,False,True,100.0,0.75,False,20.0
0.484,5.54415502548,4.12332377434,BernoulliNB,ORB,True,True,True,200.0,0.5,False,25.0
0.484,3.33684420586,2.90195236206,PassiveAggressiveClassifier,ORB,False,False,True,100.0,0.5,True,20.0
0.484,5.07481923103,4.13266067505,SGDClassifier,ORB,True,True,True,200.0,1.0,True,25.0
0.484,3.97046217918,3.80744161606,BernoulliNB,ORB,True,True,True,100.0,0.5,True,25.0
0.482666666667,3.87960577011,3.13525075912,SGDClassifier,ORB,True,False,True,200.0,0.5,False,10.0
0.482666666667,2.91787142754,2.77852759361,BernoulliNB,ORB,False,False,True,50.0,1.0,False,20.0
0.482666666667,4.78472137451,4.14713578224,Perceptron,ORB,False,True,True,200.0,1.0,False,20.0
0.482666666667,3.82617340088,3.83664784431,SGDClassifier,ORB,False,True,True,100.0,0.25,False,20.0
0.482666666667,3.95881943703,3.78969225883,PassiveAggressiveClassifier,ORB,True,True,True,100.0,0.5,False,15.0
0.481333333333,3.74874424934,3.70550508499,BernoulliNB,ORB,False,True,True,50.0,0.5,False,25.0
0.481333333333,3.17503437996,2.91464705467,BernoulliNB,ORB,True,False,True,100.0,1.0,True,20.0
0.481333333333,4.49573225975,3.22159457207,SGDClassifier,ORB,False,False,True,200.0,1.0,False,20.0
0.481333333333,4.07086501122,3.79795103073,PassiveAggressiveClassifier,ORB,True,True,True,100.0,0.5,True,25.0
0.481333333333,2.56876058578,2.69840741158,PassiveAggressiveClassifier,ORB,False,False,True,25.0,0.5,False,25.0
